LAT,LON,PRECTOTCORR
1.5,-76.875,4.092591240875912
1.5,-76.25,4.37639598540146
1.5,-75.625,4.264899635036496
1.5,-75.0,4.145903284671533
1.5,-74.375,4.06543795620438
1.5,-73.75,5.2959032846715335
1.5,-73.125,7.467363138686131
1.5,-72.5,8.189014598540146
1.5,-71.875,9.04647810218978
1.5,-71.25,8.334744525547444
1.5,-70.625,7.326395985401461
1.5,-70.0,7.216341240875912
1.5,-69.375,6.969698905109489
2.0,-76.875,3.755593065693431
2.0,-76.25,3.7382846715328464
2.0,-75.625,3.7455200729927007
2.0,-75.0,3.5968430656934305
2.0,-74.375,4.033768248175183
2.0,-73.75,6.070100364963504
2.0,-73.125,8.37661496350365
2.0,-72.5,9.161815693430658
2.0,-71.875,9.516076642335767
2.0,-71.25,8.842317518248175
2.0,-70.625,7.600164233576643
2.0,-70.0,7.382016423357664
2.0,-69.375,6.937618613138686
2.5,-76.875,3.443512773722628
2.5,-76.25,3.3838868613138686
2.5,-75.625,3.589324817518248
2.5,-75.0,3.5427007299270077
2.5,-74.375,4.593321167883212
2.5,-73.75,7.375045620437956
2.5,-73.125,9.453038321167885
2.5,-72.5,9.953722627737227
2.5,-71.875,9.812089416058393
2.5,-71.25,9.326587591240877
2.5,-70.625,8.12558394160584
2.5,-70.0,7.641806569343066
2.5,-69.375,6.902956204379563
3.0,-76.875,4.536779197080293
3.0,-76.25,3.2677007299270073
3.0,-75.625,3.676596715328467
3.0,-75.0,3.751669708029197
3.0,-74.375,5.430775547445256
3.0,-73.75,8.611332116788322
3.0,-73.125,10.246660583941607
3.0,-72.5,10.418503649635037
3.0,-71.875,9.997007299270072
3.0,-71.25,9.599206204379561
3.0,-70.625,8.568503649635037
3.0,-70.0,7.738795620437956
3.0,-69.375,6.713677007299269
3.5,-76.875,6.876532846715329
3.5,-76.25,3.6173631386861316
3.5,-75.625,4.0575547445255475
3.5,-75.0,4.280748175182482
3.5,-74.375,6.136131386861313
3.5,-73.75,9.264169708029197
3.5,-73.125,10.50036496350365
