LAT,LON,T2M
1.5,-76.875,16.115492700729927
1.5,-76.25,19.15772810218978
1.5,-75.625,22.940638686131386
1.5,-75.0,25.778658759124088
1.5,-74.375,26.070921532846715
1.5,-73.75,25.28162408759124
1.5,-73.125,24.9814598540146
1.5,-72.5,25.15418795620438
1.5,-71.875,25.222317518248175
1.5,-71.25,25.5064598540146
1.5,-70.625,25.46464416058394
1.5,-70.0,25.46796532846715
1.5,-69.375,25.630264598540148
2.0,-76.875,17.470702554744523
2.0,-76.25,15.750939781021897
2.0,-75.625,19.619306569343063
2.0,-75.0,23.89889598540146
2.0,-74.375,25.991149635036496
2.0,-73.75,25.249260948905107
2.0,-73.125,25.361085766423358
2.0,-72.5,25.318485401459856
2.0,-71.875,25.363923357664234
2.0,-71.25,25.38193430656934
2.0,-70.625,25.51118613138686
2.0,-70.0,25.51637773722628
2.0,-69.375,25.537591240875912
2.5,-76.875,18.92869525547445
2.5,-76.25,15.010556569343066
2.5,-75.625,19.380875912408758
2.5,-75.0,19.743521897810222
2.5,-74.375,24.078348540145985
2.5,-73.75,24.96161496350365
2.5,-73.125,25.474708029197078
2.5,-72.5,25.498512773722627
2.5,-71.875,25.515173357664235
2.5,-71.25,25.498485401459853
2.5,-70.625,25.59654197080292
2.5,-70.0,25.527509124087594
2.5,-69.375,25.606879562043794
3.0,-76.875,21.490611313868612
3.0,-76.25,15.533403284671534
3.0,-75.625,20.20375
3.0,-75.0,20.598275547445255
3.0,-74.375,21.560948905109488
3.0,-73.75,24.462171532846718
3.0,-73.125,25.583166058394163
3.0,-72.5,25.838275547445257
3.0,-71.875,25.774452554744524
3.0,-71.25,25.55484489051095
3.0,-70.625,25.479324817518247
3.0,-70.0,25.594890510948904
3.0,-69.375,25.649653284671533
3.5,-76.875,22.922445255474454
3.5,-76.25,16.596231751824817
3.5,-75.625,19.184452554744524
3.5,-75.0,25.143184306569342
3.5,-74.375,17.82103102189781
3.5,-73.75,22.564607664233577
3.5,-73.125,25.68633211678832
3.5,-72.5,26.19604927007299
3.5,-71.875,26.071277372262774
3.5,-71.25,25.826186131386862
3.5,-70.625,25.655976277372265
3.5,-70.0,25.7778102189781
3.5,-69.375,25.847481751824816
4.0,-76.875,24.23947080291971
4.0,-76.25,18.74613138686131
4.0,-75.625,16.94931569343066
4.0,-75.0,26.31994525547445
4.0,-74.375,17.00294708029197
4.0,-73.75,19.305027372262774
4.0,-73.125,25.540930656934307
4.0,-72.5,26.42932481751825
4.0,-71.875,26.33587591240876
4.0,-71.25,26.342262773722627
4.0,-70.625,26.33705291970803
4.0,-70.0,26.235812043795622
4.0,-69.375,26.337262773722628
4.5,-76.875,24.747618613138684
4.5,-76.25,21.666277372262776
4.5,-75.625,15.492271897810218
4.5,-75.0,22.88545620437956
4.5,-74.375,19.02435218978102
4.5,-73.75,15.673074817518247
4.5,-73.125,23.958257299270073
4.5,-72.5,26.758339416058394
4.5,-71.875,26.71851277372263
4.5,-71.25,26.791724452554742
4.5,-70.625,26.970118613138688
4.5,-70.0,27.10831204379562
4.5,-69.375,26.916049270072993
5.0,-77.5,26.93684306569343
5.0,-76.875,25.0822901459854
5.0,-76.25,21.944452554744526
5.0,-75.625,16.4660401459854
5.0,-75.0,20.05440693430657
5.0,-74.375,20.604178832116787
5.0,-73.75,13.948211678832116
5.0,-73.125,18.730374087591244
5.0,-72.5,26.05044708029197
5.0,-71.875,27.110182481751824
5.0,-71.25,27.474644160583942
5.0,-70.625,27.824005474452555
5.0,-70.0,27.68337591240876
5.0,-69.375,27.370994525547445
5.5,-77.5,26.871085766423356
5.5,-76.875,25.161751824817518
5.5,-76.25,21.778275547445258
5.5,-75.625,18.127463503649636
5.5,-75.0,21.294543795620438
5.5,-74.375,23.265255474452555
5.5,-73.75,15.705364963503651
5.5,-73.125,13.557974452554745
5.5,-72.5,19.123001824817518
5.5,-71.875,26.948978102189784
5.5,-71.25,28.09294708029197
5.5,-70.625,28.38748175182482
5.5,-70.0,28.17678832116788
5.5,-69.375,27.758211678832115
6.0,-77.5,26.976824817518246
6.0,-76.875,25.0992700729927
6.0,-76.25,21.107655109489052
6.0,-75.625,18.09639598540146
6.0,-75.0,21.65491788321168
6.0,-74.375,25.279552919708028
6.0,-73.75,20.126268248175183
6.0,-73.125,14.572198905109488
6.0,-72.5,13.465821167883213
6.0,-71.875,24.783439781021897
6.0,-71.25,28.427673357664233
6.0,-70.625,28.60308394160584
6.0,-70.0,28.519297445255475
6.0,-69.375,28.12911496350365
6.5,-77.5,26.8628102189781
6.5,-76.875,25.0444799270073
6.5,-76.25,20.822746350364962
6.5,-75.625,16.874835766423356
6.5,-75.0,20.980894160583944
6.5,-74.375,25.973184306569344
6.5,-73.75,23.556797445255473
6.5,-73.125,19.732372262773723
6.5,-72.5,12.022883211678833
6.5,-71.875,20.807463503649636
6.5,-71.25,28.25918795620438
6.5,-70.625,28.689224452554743
6.5,-70.0,28.657773722627734
6.5,-69.375,28.48655109489051
7.0,-77.5,26.173795620437957
7.0,-76.875,25.45542883211679
7.0,-76.25,21.423366788321168
7.0,-75.625,18.302317518248174
7.0,-75.0,22.47785583941606
7.0,-74.375,25.7797901459854
7.0,-73.75,25.793841240875913
7.0,-73.125,20.414580291970804
7.0,-72.5,13.864963503649635
7.0,-71.875,25.13551094890511
7.0,-71.25,28.37131386861314
7.5,-76.875,25.9141697080292
7.5,-76.25,23.28052919708029
7.5,-75.625,23.644808394160584
7.5,-75.0,25.431578467153283
7.5,-74.375,25.230054744525546
7.5,-73.75,27.223120437956204
7.5,-73.125,19.715702554744524
7.5,-72.5,18.13620437956204
8.0,-76.875,26.184434306569344
8.0,-76.25,26.001450729927008
8.0,-75.625,27.399753649635038
8.0,-75.0,27.237828467153285
8.0,-74.375,25.76051094890511
8.0,-73.75,26.81206204379562
8.0,-73.125,21.107691605839413
8.0,-72.5,26.699416058394164
8.5,-76.875,27.099087591240874
8.5,-76.25,27.424160583941607
8.5,-75.625,28.202043795620437
8.5,-75.0,27.994835766423357
8.5,-74.375,27.705173357664233
8.5,-73.75,26.958704379562047
8.5,-73.125,25.075173357664234
8.5,-72.5,30.41500912408759
9.0,-76.875,28.13574817518248
9.0,-76.25,28.002025547445257
9.0,-75.625,28.458512773722628
9.0,-75.0,28.53104927007299
9.0,-74.375,29.154425182481752
9.0,-73.75,28.07815693430657
9.0,-73.125,27.24714416058394
9.0,-72.5,30.557828467153282
9.5,-76.875,28.324580291970804
9.5,-76.25,28.401386861313867
