LAT,LON,YEAR,MO,DY,PRECTOTCORR,T2M,ALLSKY_KT,ALLSKY_SFC_SW_DWN,RH2M
4.5,-72.5,2023,3,27,1.22,26.72,0.43,4.46,76.54
5.5,-72.5,2023,3,27,3.91,18.83,0.41,4.31,78.8
6.5,-72.5,2023,3,27,4.66,11.26,0.4,4.17,86.19
2.5,-72.5,2023,3,28,0.89,25.15,0.52,5.41,89.81
3.5,-72.5,2023,3,28,0.6,25.22,0.43,4.53,85.78
4.5,-72.5,2023,3,28,0.68,26.54,0.36,3.74,75.75
5.5,-72.5,2023,3,28,1.07,18.7,0.33,3.49,81.12
6.5,-72.5,2023,3,28,1.63,11.71,0.42,4.36,86.64
2.5,-72.5,2023,3,29,0.39,25.65,0.43,4.54,88.94
3.5,-72.5,2023,3,29,0.5,25.83,0.41,4.29,86.28
4.5,-72.5,2023,3,29,0.42,25.48,0.38,3.97,83.66
5.5,-72.5,2023,3,29,0.28,18.53,0.33,3.47,84.07
6.5,-72.5,2023,3,29,0.23,11.73,0.29,3.0,86.41
2.5,-72.5,2023,3,30,0.02,25.68,0.34,3.52,88.92
3.5,-72.5,2023,3,30,0.01,26.4,0.42,4.38,83.38
4.5,-72.5,2023,3,30,0.01,27.31,0.44,4.58,72.23
5.5,-72.5,2023,3,30,0.06,19.44,0.36,3.75,78.07
6.5,-72.5,2023,3,30,0.07,11.85,0.35,3.71,86.9
2.5,-72.5,2023,3,31,4.88,25.98,0.23,2.38,88.7
3.5,-72.5,2023,3,31,3.14,26.59,0.29,3.08,84.25
4.5,-72.5,2023,3,31,2.06,27.41,0.32,3.39,77.27
5.5,-72.5,2023,3,31,1.33,19.48,0.39,4.07,79.88
6.5,-72.5,2023,3,31,0.06,12.08,0.38,3.95,87.24
2.5,-72.5,2023,4,1,28.76,25.66,0.28,2.95,91.5
3.5,-72.5,2023,4,1,65.27,25.31,0.27,2.84,92.2
4.5,-72.5,2023,4,1,68.44,25.58,0.33,3.46,90.72
5.5,-72.5,2023,4,1,23.95,18.27,0.31,3.27,92.78
6.5,-72.5,2023,4,1,0.79,12.56,0.32,3.34,88.31
2.5,-72.5,2023,4,2,42.67,24.09,0.38,3.94,94.39
3.5,-72.5,2023,4,2,27.92,25.48,0.28,2.96,84.2
4.5,-72.5,2023,4,2,14.55,26.01,0.38,4.01,81.4
5.5,-72.5,2023,4,2,13.56,18.6,0.35,3.67,87.05
6.5,-72.5,2023,4,2,0.6,12.18,0.41,4.29,87.05
2.5,-72.5,2023,4,3,0.66,25.53,0.51,5.35,86.69
3.5,-72.5,2023,4,3,0.32,26.32,0.61,6.32,82.29
4.5,-72.5,2023,4,3,0.5,27.1,0.63,6.56,78.17
5.5,-72.5,2023,4,3,0.22,19.51,0.54,5.63,80.19
6.5,-72.5,2023,4,3,0.02,12.2,0.46,4.86,85.32
2.5,-72.5,2023,4,4,1.58,25.97,0.61,6.34,88.6
3.5,-72.5,2023,4,4,1.45,26.46,0.6,6.31,84.33
4.5,-72.5,2023,4,4,1.22,27.22,0.57,5.98,78.83
5.5,-72.5,2023,4,4,1.35,19.78,0.48,5.05,79.04
6.5,-72.5,2023,4,4,1.56,11.96,0.44,4.63,85.22
2.5,-72.5,2023,4,5,2.22,25.9,0.61,6.39,89.84
3.5,-72.5,2023,4,5,2.42,26.32,0.57,5.92,85.43
4.5,-72.5,2023,4,5,2.49,26.87,0.53,5.53,82.41
5.5,-72.5,2023,4,5,2.37,19.47,0.39,4.03,82.38
6.5,-72.5,2023,4,5,1.54,12.2,0.41,4.31,84.75
2.5,-72.5,2023,4,6,4.45,25.28,0.5,5.15,92.74
3.5,-72.5,2023,4,6,3.8,26.45,0.44,4.56,85.5
4.5,-72.5,2023,4,6,3.77,27.04,0.39,4.03,81.76
5.5,-72.5,2023,4,6,17.81,19.13,0.32,3.34,83.97
6.5,-72.5,2023,4,6,26.82,11.97,0.32,3.38,87.34
2.5,-72.5,2023,4,7,18.92,25.27,0.44,4.53,91.51
3.5,-72.5,2023,4,7,19.58,25.87,0.45,4.68,88.39
4.5,-72.5,2023,4,7,12.55,26.25,0.44,4.57,85.22
5.5,-72.5,2023,4,7,11.44,18.84,0.3,3.13,87.54
6.5,-72.5,2023,4,7,4.7,11.99,0.26,2.77,89.02
2.5,-72.5,2023,4,8,19.13,25.19,0.19,1.97,90.71
3.5,-72.5,2023,4,8,16.92,25.29,0.17,1.73,87.14
4.5,-72.5,2023,4,8,18.6,25.3,0.27,2.79,84.33
5.5,-72.5,2023,4,8,4.24,17.5,0.28,2.96,89.71
6.5,-72.5,2023,4,8,0.14,11.96,0.32,3.38,85.37
2.5,-72.5,2023,4,9,4.62,24.48,0.35,3.68,91.98
3.5,-72.5,2023,4,9,5.7,25.17,0.4,4.13,86.12
4.5,-72.5,2023,4,9,4.94,25.92,0.39,4.08,81.94
5.5,-72.5,2023,4,9,2.38,18.6,0.34,3.52,88.97
6.5,-72.5,2023,4,9,0.27,12.11,0.43,4.46,87.57
2.5,-72.5,2023,4,10,8.5,25.22,0.58,6.01,87.43
3.5,-72.5,2023,4,10,7.06,26.29,0.54,5.57,82.0
4.5,-72.5,2023,4,10,5.6,26.5,0.48,5.04,80.55
5.5,-72.5,2023,4,10,2.85,18.52,0.39,4.09,82.64
6.5,-72.5,2023,4,10,0.37,10.66,0.38,3.98,88.38
2.5,-72.5,2023,4,11,11.1,25.65,0.48,5.01,87.76
3.5,-72.5,2023,4,11,12.39,26.65,0.49,5.06,82.82
4.5,-72.5,2023,4,11,11.19,27.03,0.49,5.14,79.96
5.5,-72.5,2023,4,11,6.72,19.72,0.43,4.44,81.77
6.5,-72.5,2023,4,11,2.57,12.24,0.34,3.55,87.07
2.5,-72.5,2023,4,12,2.8,25.35,0.52,5.36,91.99
3.5,-72.5,2023,4,12,2.01,26.33,0.47,4.83,85.51
4.5,-72.5,2023,4,12,1.39,27.15,0.51,5.26,80.04
5.5,-72.5,2023,4,12,0.99,19.03,0.46,4.79,82.62
6.5,-72.5,2023,4,12,0.23,11.56,0.38,3.93,83.9
2.5,-72.5,2023,4,13,0.0,26.36,0.59,6.1,86.21
3.5,-72.5,2023,4,13,0.0,26.88,0.61,6.35,82.85
4.5,-72.5,2023,4,13,0.0,27.45,0.58,6.04,80.06
5.5,-72.5,2023,4,13,0.0,20.07,0.45,4.68,78.8
6.5,-72.5,2023,4,13,0.0,11.97,0.41,4.25,84.99
2.5,-72.5,2023,4,14,0.0,26.14,0.47,4.83,90.37
3.5,-72.5,2023,4,14,0.0,26.96,0.47,4.88,84.32
4.5,-72.5,2023,4,14,0.0,28.04,0.55,5.67,76.72
5.5,-72.5,2023,4,14,0.0,19.81,0.51,5.26,80.74
6.5,-72.5,2023,4,14,0.0,11.73,0.48,5.01,87.45
2.5,-72.5,2023,4,15,0.26,25.8,0.41,4.18,90.79
3.5,-72.5,2023,4,15,0.27,26.77,0.45,4.63,86.53
4.5,-72.5,2023,4,15,0.79,27.57,0.48,4.98,79.52
5.5,-72.5,2023,4,15,13.02,19.89,0.43,4.46,83.53
6.5,-72.5,2023,4,15,19.88,12.49,0.42,4.38,86.9
2.5,-72.5,2023,4,16,45.39,24.9,0.27,2.75,95.23
3.5,-72.5,2023,4,16,49.92,25.68,0.27,2.77,89.4
4.5,-72.5,2023,4,16,39.79,25.7,0.26,2.66,90.83
5.5,-72.5,2023,4,16,29.5,19.1,0.29,3.01,88.48
6.5,-72.5,2023,4,16,28.83,12.55,0.32,3.33,87.69
2.5,-72.5,2023,4,17,58.01,24.98,0.45,4.57,92.71
3.5,-72.5,2023,4,17,63.06,25.51,0.44,4.59,87.17
4.5,-72.5,2023,4,17,52.9,25.65,0.5,5.21,87.37
5.5,-72.5,2023,4,17,24.07,18.52,0.36,3.71,86.53
6.5,-72.5,2023,4,17,2.59,12.16,0.32,3.29,85.2
2.5,-72.5,2023,4,18,10.1,25.73,0.26,2.7,90.34
3.5,-72.5,2023,4,18,3.07,25.86,0.17,1.79,85.31
4.5,-72.5,2023,4,18,7.0,26.78,0.27,2.83,80.73
5.5,-72.5,2023,4,18,3.73,19.33,0.22,2.3,84.25
6.5,-72.5,2023,4,18,0.33,11.41,0.28,2.95,87.82
2.5,-72.5,2023,4,19,0.19,26.03,0.57,5.84,90.06
3.5,-72.5,2023,4,19,0.3,26.17,0.54,5.53,86.62
4.5,-72.5,2023,4,19,0.25,26.38,0.53,5.51,86.07
5.5,-72.5,2023,4,19,0.08,19.19,0.41,4.22,89.34
6.5,-72.5,2023,4,19,0.0,11.86,0.46,4.81,87.32
2.5,-72.5,2023,4,20,1.9,25.51,0.39,4.0,93.04
3.5,-72.5,2023,4,20,1.96,25.29,0.36,3.69,90.53
4.5,-72.5,2023,4,20,2.85,25.89,0.32,3.31,86.99
5.5,-72.5,2023,4,20,1.64,19.55,0.23,2.37,85.39
6.5,-72.5,2023,4,20,0.4,12.79,0.3,3.08,86.84
2.5,-72.5,2023,4,21,14.25,24.1,0.34,3.5,96.0
3.5,-72.5,2023,4,21,10.43,25.08,0.38,3.94,90.24
4.5,-72.5,2023,4,21,7.02,26.08,0.45,4.63,86.56
5.5,-72.5,2023,4,21,8.13,19.28,0.39,4.06,89.58
6.5,-72.5,2023,4,21,6.45,12.59,0.31,3.23,89.52
2.5,-72.5,2023,4,22,1.57,25.35,0.49,5.05,89.92
3.5,-72.5,2023,4,22,3.01,25.63,0.4,4.1,86.53
4.5,-72.5,2023,4,22,6.11,25.51,0.32,3.27,86.95
5.5,-72.5,2023,4,22,6.22,18.1,0.31,3.16,94.64
6.5,-72.5,2023,4,22,8.2,11.8,0.29,2.98,88.45
2.5,-72.5,2023,4,23,41.97,24.98,0.1,1.01,94.08
3.5,-72.5,2023,4,23,30.33,24.93,0.25,2.58,91.08
4.5,-72.5,2023,4,23,23.14,25.09,0.4,4.15,89.46
5.5,-72.5,2023,4,23,16.42,19.06,0.37,3.78,88.22
6.5,-72.5,2023,4,23,9.39,12.62,0.43,4.49,87.04
2.5,-72.5,2023,4,24,38.26,24.22,0.52,5.28,94.15
3.5,-72.5,2023,4,24,48.52,24.43,0.52,5.3,91.93
4.5,-72.5,2023,4,24,46.8,25.0,0.52,5.35,90.01
5.5,-72.5,2023,4,24,22.11,18.44,0.38,3.95,93.81
6.5,-72.5,2023,4,24,5.11,12.42,0.36,3.7,90.12
2.5,-72.5,2023,4,25,9.49,25.25,0.48,4.83,90.08
3.5,-72.5,2023,4,25,10.5,25.11,0.49,4.97,89.09
4.5,-72.5,2023,4,25,6.85,25.06,0.5,5.18,88.91
5.5,-72.5,2023,4,25,9.64,18.55,0.39,3.98,93.91
6.5,-72.5,2023,4,25,13.73,12.38,0.37,3.84,90.46
2.5,-72.5,2023,4,26,5.74,24.96,0.48,4.86,94.27
3.5,-72.5,2023,4,26,5.78,25.37,0.52,5.35,88.58
4.5,-72.5,2023,4,26,6.75,25.72,0.49,4.99,85.14
5.5,-72.5,2023,4,26,5.21,18.97,0.44,4.52,85.03
6.5,-72.5,2023,4,26,2.49,12.28,0.38,3.9,88.38
2.5,-72.5,2023,4,27,17.37,25.63,0.43,4.38,89.77
3.5,-72.5,2023,4,27,24.69,26.66,0.38,3.91,81.44
4.5,-72.5,2023,4,27,30.3,26.89,0.47,4.83,80.11
5.5,-72.5,2023,4,27,15.65,19.11,0.46,4.78,86.63
6.5,-72.5,2023,4,27,1.31,12.27,0.41,4.26,86.7
2.5,-72.5,2023,4,28,26.72,24.83,0.51,5.14,94.2
3.5,-72.5,2023,4,28,20.01,26.1,0.47,4.79,85.89
4.5,-72.5,2023,4,28,9.44,26.69,0.44,4.55,82.27
5.5,-72.5,2023,4,28,6.29,19.05,0.4,4.13,88.8
6.5,-72.5,2023,4,28,1.83,12.64,0.36,3.69,85.61
2.5,-72.5,2023,4,29,6.76,25.56,0.49,4.94,89.52
3.5,-72.5,2023,4,29,6.46,26.28,0.53,5.34,85.29
4.5,-72.5,2023,4,29,4.97,26.47,0.51,5.24,84.5
5.5,-72.5,2023,4,29,9.77,18.98,0.45,4.66,86.87
6.5,-72.5,2023,4,29,14.95,12.47,0.47,4.81,85.69
2.5,-72.5,2023,4,30,2.93,26.04,0.43,4.33,88.73
3.5,-72.5,2023,4,30,4.24,26.77,0.28,2.81,84.14
4.5,-72.5,2023,4,30,3.93,26.72,0.35,3.57,81.9
5.5,-72.5,2023,4,30,3.11,19.55,0.41,4.21,84.79
6.5,-72.5,2023,4,30,1.14,12.32,0.38,3.95,83.93
2.5,-72.5,2023,5,1,23.37,25.25,0.49,4.91,93.77
3.5,-72.5,2023,5,1,8.97,25.81,0.42,4.25,90.21
4.5,-72.5,2023,5,1,8.88,26.35,0.55,5.57,86.08
5.5,-72.5,2023,5,1,7.56,19.7,0.54,5.51,85.12
6.5,-72.5,2023,5,1,0.21,12.47,0.58,6.01,83.81
2.5,-72.5,2023,5,2,13.51,25.64,0.51,5.15,92.49
3.5,-72.5,2023,5,2,26.27,26.16,0.5,5.06,86.6
4.5,-72.5,2023,5,2,20.62,26.46,0.56,5.69,87.06
5.5,-72.5,2023,5,2,7.0,19.48,0.6,6.18,85.09
6.5,-72.5,2023,5,2,0.16,11.89,0.64,6.62,81.62
2.5,-72.5,2023,5,3,76.03,25.94,0.52,5.19,91.37
3.5,-72.5,2023,5,3,57.05,26.44,0.6,6.06,85.43
4.5,-72.5,2023,5,3,25.61,27.13,0.65,6.61,83.13
5.5,-72.5,2023,5,3,17.93,19.14,0.63,6.45,85.58
6.5,-72.5,2023,5,3,0.77,11.9,0.67,6.85,83.25
2.5,-72.5,2023,5,4,3.75,25.91,0.49,4.95,88.85
3.5,-72.5,2023,5,4,36.82,26.62,0.49,4.91,85.33
4.5,-72.5,2023,5,4,57.14,26.78,0.55,5.59,84.13
5.5,-72.5,2023,5,4,20.13,19.35,0.58,5.95,87.26
6.5,-72.5,2023,5,4,0.31,12.43,0.57,5.86,84.8
2.5,-72.5,2023,5,5,0.3,25.99,0.52,5.22,87.73
3.5,-72.5,2023,5,5,0.27,26.46,0.56,5.6,86.03
4.5,-72.5,2023,5,5,0.19,27.15,0.56,5.67,84.06
5.5,-72.5,2023,5,5,0.1,19.72,0.51,5.18,85.37
6.5,-72.5,2023,5,5,0.0,12.5,0.52,5.36,84.99
2.5,-72.5,2023,5,6,0.35,26.37,0.49,4.94,88.08
3.5,-72.5,2023,5,6,0.44,27.08,0.37,3.76,82.87
4.5,-72.5,2023,5,6,0.4,27.37,0.39,3.92,82.07
5.5,-72.5,2023,5,6,0.11,19.12,0.59,6.01,79.49
6.5,-72.5,2023,5,6,0.0,10.64,0.63,6.48,78.92
2.5,-72.5,2023,5,7,0.11,26.25,0.53,5.31,89.81
3.5,-72.5,2023,5,7,0.02,26.75,0.55,5.51,85.38
4.5,-72.5,2023,5,7,0.02,27.5,0.61,6.19,78.67
5.5,-72.5,2023,5,7,0.03,19.41,0.57,5.8,79.16
6.5,-72.5,2023,5,7,0.0,12.19,0.57,5.82,80.55
2.5,-72.5,2023,5,8,6.4,26.41,0.5,4.96,91.74
3.5,-72.5,2023,5,8,6.92,26.89,0.37,3.72,86.82
4.5,-72.5,2023,5,8,5.7,27.21,0.34,3.41,84.69
5.5,-72.5,2023,5,8,3.21,19.52,0.39,3.99,87.7
6.5,-72.5,2023,5,8,0.13,12.58,0.46,4.66,87.09
2.5,-72.5,2023,5,9,14.53,25.14,0.23,2.27,94.44
3.5,-72.5,2023,5,9,19.76,25.67,0.21,2.13,90.87
4.5,-72.5,2023,5,9,18.21,26.13,0.14,1.4,89.58
5.5,-72.5,2023,5,9,10.5,18.62,0.24,2.4,93.31
6.5,-72.5,2023,5,9,4.2,13.01,0.34,3.48,86.04
2.5,-72.5,2023,5,10,20.6,24.79,0.33,3.3,93.72
3.5,-72.5,2023,5,10,15.0,25.2,0.35,3.52,90.44
4.5,-72.5,2023,5,10,11.96,25.62,0.43,4.33,87.6
5.5,-72.5,2023,5,10,7.87,18.19,0.43,4.35,88.3
6.5,-72.5,2023,5,10,3.39,12.25,0.43,4.37,86.58
2.5,-72.5,2023,5,11,1.09,25.05,0.56,5.51,92.44
3.5,-72.5,2023,5,11,1.42,25.52,0.49,4.86,90.2
4.5,-72.5,2023,5,11,0.95,26.14,0.54,5.42,88.56
5.5,-72.5,2023,5,11,0.99,19.5,0.56,5.65,85.15
6.5,-72.5,2023,5,11,1.76,12.68,0.56,5.7,81.42
2.5,-72.5,2023,5,12,0.2,25.58,0.47,4.7,89.42
3.5,-72.5,2023,5,12,0.18,25.9,0.37,3.73,88.15
4.5,-72.5,2023,5,12,0.14,26.11,0.43,4.29,87.95
5.5,-72.5,2023,5,12,0.22,19.43,0.44,4.43,86.26
6.5,-72.5,2023,5,12,0.38,13.11,0.46,4.73,79.3
2.5,-72.5,2023,5,13,45.52,25.55,0.36,3.54,93.33
3.5,-72.5,2023,5,13,52.65,26.01,0.46,4.54,89.57
4.5,-72.5,2023,5,13,57.67,26.35,0.33,3.33,89.13
5.5,-72.5,2023,5,13,40.9,19.11,0.31,3.17,92.77
6.5,-72.5,2023,5,13,12.62,12.88,0.38,3.88,88.38
2.5,-72.5,2023,5,14,33.08,25.65,0.43,4.28,94.67
3.5,-72.5,2023,5,14,40.49,26.01,0.43,4.31,90.8
4.5,-72.5,2023,5,14,25.4,26.67,0.4,4.05,88.37
5.5,-72.5,2023,5,14,7.6,19.42,0.32,3.18,92.09
6.5,-72.5,2023,5,14,7.94,12.67,0.36,3.64,88.98
2.5,-72.5,2023,5,15,0.14,26.14,0.53,5.24,90.03
3.5,-72.5,2023,5,15,0.14,26.8,0.48,4.79,85.68
4.5,-72.5,2023,5,15,0.24,26.94,0.41,4.09,85.55
5.5,-72.5,2023,5,15,2.63,19.65,0.35,3.49,85.21
6.5,-72.5,2023,5,15,3.66,12.2,0.34,3.43,86.27
2.5,-72.5,2023,5,16,25.27,26.26,0.52,5.08,92.05
3.5,-72.5,2023,5,16,17.05,26.25,0.55,5.41,86.54
4.5,-72.5,2023,5,16,14.56,26.89,0.62,6.15,85.42
5.5,-72.5,2023,5,16,14.19,20.38,0.51,5.17,80.62
6.5,-72.5,2023,5,16,4.94,12.53,0.44,4.42,83.05
2.5,-72.5,2023,5,17,7.66,26.2,0.41,4.04,90.37
3.5,-72.5,2023,5,17,16.69,26.34,0.3,2.97,84.43
4.5,-72.5,2023,5,17,15.32,26.59,0.21,2.12,84.96
5.5,-72.5,2023,5,17,3.57,20.17,0.37,3.73,85.38
6.5,-72.5,2023,5,17,0.91,13.39,0.41,4.11,84.94
2.5,-72.5,2023,5,18,0.17,26.74,0.54,5.29,87.55
3.5,-72.5,2023,5,18,0.2,27.1,0.58,5.72,84.48
4.5,-72.5,2023,5,18,0.13,27.23,0.47,4.69,83.19
5.5,-72.5,2023,5,18,0.14,20.03,0.39,3.89,87.59
6.5,-72.5,2023,5,18,0.04,13.54,0.5,5.11,82.65
2.5,-72.5,2023,5,19,2.54,26.23,0.42,4.1,92.1
3.5,-72.5,2023,5,19,2.53,27.28,0.43,4.28,85.57
4.5,-72.5,2023,5,19,2.19,27.48,0.52,5.18,84.62
5.5,-72.5,2023,5,19,1.08,20.1,0.46,4.63,90.31
6.5,-72.5,2023,5,19,0.19,14.02,0.46,4.63,85.88
2.5,-72.5,2023,5,20,43.94,26.52,0.55,5.41,91.14
3.5,-72.5,2023,5,20,46.24,27.09,0.48,4.78,87.14
4.5,-72.5,2023,5,20,41.46,27.69,0.44,4.37,83.68
5.5,-72.5,2023,5,20,17.08,20.17,0.43,4.27,89.63
6.5,-72.5,2023,5,20,0.57,13.39,0.41,4.18,88.13
2.5,-72.5,2023,5,21,36.66,25.99,0.37,3.59,93.76
3.5,-72.5,2023,5,21,31.18,26.83,0.32,3.17,88.14
4.5,-72.5,2023,5,21,26.88,27.7,0.23,2.33,84.03
5.5,-72.5,2023,5,21,30.11,19.97,0.29,2.95,87.26
6.5,-72.5,2023,5,21,23.5,11.96,0.33,3.33,90.24
2.5,-72.5,2023,5,22,17.14,25.43,0.45,4.37,95.19
3.5,-72.5,2023,5,22,18.32,26.57,0.45,4.47,90.59
4.5,-72.5,2023,5,22,12.63,26.81,0.48,4.76,89.04
5.5,-72.5,2023,5,22,7.74,19.6,0.39,3.95,86.84
6.5,-72.5,2023,5,22,11.41,13.01,0.33,3.32,86.43
2.5,-72.5,2023,5,23,0.93,26.1,0.48,4.69,89.58
3.5,-72.5,2023,5,23,0.08,26.83,0.43,4.25,87.06
4.5,-72.5,2023,5,23,0.3,27.16,0.54,5.35,84.49
5.5,-72.5,2023,5,23,0.42,19.65,0.46,4.58,88.18
6.5,-72.5,2023,5,23,0.55,12.98,0.39,3.92,87.38
2.5,-72.5,2023,5,24,37.3,25.69,0.52,5.1,93.89
3.5,-72.5,2023,5,24,30.2,26.5,0.5,4.92,88.5
4.5,-72.5,2023,5,24,26.34,26.53,0.49,4.85,88.12
5.5,-72.5,2023,5,24,8.94,19.62,0.45,4.5,88.96
6.5,-72.5,2023,5,24,0.6,13.26,0.39,3.94,87.83
2.5,-72.5,2023,5,25,49.58,24.71,0.56,5.39,95.22
3.5,-72.5,2023,5,25,86.35,25.43,0.61,5.99,90.07
4.5,-72.5,2023,5,25,75.77,25.8,0.61,5.98,87.58
5.5,-72.5,2023,5,25,47.16,18.17,0.45,4.5,88.83
6.5,-72.5,2023,5,25,6.32,11.95,0.36,3.65,86.24
2.5,-72.5,2023,5,26,47.38,24.98,0.45,4.37,92.6
3.5,-72.5,2023,5,26,26.85,26.25,0.4,3.88,84.98
4.5,-72.5,2023,5,26,28.83,26.21,0.33,3.26,84.65
5.5,-72.5,2023,5,26,12.14,18.74,0.41,4.04,85.94
6.5,-72.5,2023,5,26,1.44,12.62,0.38,3.82,85.24
2.5,-72.5,2023,5,27,8.28,25.2,0.42,4.06,92.53
3.5,-72.5,2023,5,27,9.86,26.2,0.39,3.78,86.36
4.5,-72.5,2023,5,27,6.13,26.13,0.39,3.83,87.26
5.5,-72.5,2023,5,27,22.13,18.9,0.39,3.89,86.48
6.5,-72.5,2023,5,27,36.96,12.12,0.37,3.76,86.71
2.5,-72.5,2023,5,28,0.52,26.21,0.52,5.05,87.51
3.5,-72.5,2023,5,28,0.37,26.89,0.56,5.45,83.2
4.5,-72.5,2023,5,28,1.32,27.03,0.64,6.31,82.99
5.5,-72.5,2023,5,28,4.56,19.31,0.53,5.29,84.4
6.5,-72.5,2023,5,28,11.59,12.06,0.48,4.83,84.16
2.5,-72.5,2023,5,29,5.87,25.86,0.58,5.58,90.98
3.5,-72.5,2023,5,29,5.9,26.67,0.51,4.95,86.46
4.5,-72.5,2023,5,29,6.49,27.1,0.51,5.05,84.31
5.5,-72.5,2023,5,29,5.73,19.2,0.45,4.51,86.85
6.5,-72.5,2023,5,29,3.28,12.35,0.53,5.32,83.13
2.5,-72.5,2023,5,30,20.25,25.75,0.61,5.91,93.16
3.5,-72.5,2023,5,30,18.7,26.79,0.55,5.35,85.19
4.5,-72.5,2023,5,30,14.82,26.94,0.5,4.87,84.65
5.5,-72.5,2023,5,30,8.83,18.59,0.4,3.99,90.33
6.5,-72.5,2023,5,30,1.8,11.87,0.33,3.28,87.23
2.5,-72.5,2023,5,31,19.03,24.85,0.47,4.54,93.92
3.5,-72.5,2023,5,31,23.51,25.89,0.45,4.37,85.93
4.5,-72.5,2023,5,31,20.24,26.11,0.46,4.56,85.22
5.5,-72.5,2023,5,31,13.5,18.37,0.48,4.81,88.11
6.5,-72.5,2023,5,31,7.8,11.9,0.45,4.52,86.9
2.5,-72.5,2023,6,1,13.76,25.01,0.36,3.42,92.42
3.5,-72.5,2023,6,1,10.59,25.62,0.42,4.09,86.95
4.5,-72.5,2023,6,1,7.5,25.54,0.44,4.31,87.9
5.5,-72.5,2023,6,1,4.95,17.99,0.4,4.0,87.89
6.5,-72.5,2023,6,1,2.54,11.76,0.36,3.63,86.7
2.5,-72.5,2023,6,2,43.35,24.62,0.48,4.58,93.3
3.5,-72.5,2023,6,2,44.02,24.72,0.55,5.34,89.53
4.5,-72.5,2023,6,2,23.38,25.13,0.5,4.93,87.06
5.5,-72.5,2023,6,2,10.06,17.75,0.5,5.0,84.97
6.5,-72.5,2023,6,2,1.54,10.96,0.45,4.47,84.3
2.5,-72.5,2023,6,3,3.18,25.0,0.65,6.25,88.57
3.5,-72.5,2023,6,3,4.03,25.4,0.62,6.06,85.75
4.5,-72.5,2023,6,3,18.97,25.53,0.6,5.92,79.88
5.5,-72.5,2023,6,3,13.31,18.24,0.56,5.5,80.25
6.5,-72.5,2023,6,3,5.49,11.38,0.54,5.39,83.08
2.5,-72.5,2023,6,4,0.03,25.5,0.53,5.09,88.69
3.5,-72.5,2023,6,4,0.1,26.16,0.57,5.56,84.29
4.5,-72.5,2023,6,4,0.34,25.84,0.59,5.82,81.89
5.5,-72.5,2023,6,4,1.84,18.78,0.55,5.46,82.77
6.5,-72.5,2023,6,4,2.99,11.11,0.49,4.91,84.94
2.5,-72.5,2023,6,5,0.35,25.61,0.39,3.72,87.02
3.5,-72.5,2023,6,5,0.87,26.36,0.33,3.24,83.06
4.5,-72.5,2023,6,5,1.94,25.68,0.38,3.74,84.57
5.5,-72.5,2023,6,5,3.62,18.25,0.39,3.82,84.52
6.5,-72.5,2023,6,5,5.24,11.28,0.38,3.78,85.67
2.5,-72.5,2023,6,6,0.39,24.82,0.46,4.37,89.63
3.5,-72.5,2023,6,6,0.3,25.78,0.47,4.58,85.85
4.5,-72.5,2023,6,6,0.27,25.98,0.53,5.14,82.98
5.5,-72.5,2023,6,6,3.7,18.33,0.48,4.78,81.55
6.5,-72.5,2023,6,6,5.07,10.86,0.45,4.51,83.46
2.5,-72.5,2023,6,7,30.37,24.44,0.56,5.39,91.56
3.5,-72.5,2023,6,7,17.83,25.38,0.51,4.95,86.71
4.5,-72.5,2023,6,7,16.22,25.7,0.52,5.12,86.57
5.5,-72.5,2023,6,7,12.23,18.61,0.51,5.04,86.87
6.5,-72.5,2023,6,7,1.35,11.65,0.48,4.82,85.02
2.5,-72.5,2023,6,8,19.25,25.12,0.4,3.79,89.21
3.5,-72.5,2023,6,8,32.81,25.76,0.26,2.48,85.35
4.5,-72.5,2023,6,8,27.56,25.61,0.17,1.63,86.33
5.5,-72.5,2023,6,8,26.13,18.44,0.16,1.61,92.09
6.5,-72.5,2023,6,8,32.39,11.43,0.35,3.51,89.42
2.5,-72.5,2023,6,9,1.28,25.64,0.6,5.76,88.36
3.5,-72.5,2023,6,9,0.7,26.39,0.58,5.58,80.66
4.5,-72.5,2023,6,9,0.33,27.14,0.59,5.81,77.47
5.5,-72.5,2023,6,9,2.27,19.26,0.49,4.8,81.33
6.5,-72.5,2023,6,9,4.37,11.53,0.46,4.57,85.68
2.5,-72.5,2023,6,10,11.07,25.81,0.59,5.6,89.59
3.5,-72.5,2023,6,10,12.18,26.35,0.59,5.68,83.68
4.5,-72.5,2023,6,10,9.96,26.99,0.64,6.23,79.75
5.5,-72.5,2023,6,10,8.14,18.96,0.53,5.19,87.71
6.5,-72.5,2023,6,10,3.83,11.98,0.49,4.83,86.14
2.5,-72.5,2023,6,11,60.4,25.37,0.44,4.2,93.48
3.5,-72.5,2023,6,11,72.18,25.87,0.39,3.77,87.06
4.5,-72.5,2023,6,11,68.52,26.64,0.42,4.08,84.17
5.5,-72.5,2023,6,11,35.17,18.67,0.39,3.83,87.78
6.5,-72.5,2023,6,11,2.39,11.86,0.43,4.29,87.15
2.5,-72.5,2023,6,12,14.57,25.51,0.58,5.55,89.56
3.5,-72.5,2023,6,12,14.44,26.28,0.5,4.82,83.76
4.5,-72.5,2023,6,12,8.53,26.89,0.44,4.25,80.76
5.5,-72.5,2023,6,12,1.27,18.72,0.33,3.22,84.99
