LAT,LON,YEAR,MO,DY,PRECTOTCORR,T2M,ALLSKY_KT,ALLSKY_SFC_SW_DWN,RH2M
4.5,-72.5,2022,1,18,18.04,28.13,0.38,3.6,70.68
5.5,-72.5,2022,1,18,8.51,19.03,0.37,3.46,80.52
6.5,-72.5,2022,1,18,0.41,12.44,0.44,4.11,81.51
2.5,-72.5,2022,1,19,0.4,25.55,0.59,5.78,86.21
3.5,-72.5,2022,1,19,0.56,27.28,0.59,5.76,70.53
4.5,-72.5,2022,1,19,0.69,28.76,0.62,5.9,59.77
5.5,-72.5,2022,1,19,0.09,19.61,0.57,5.42,71.54
6.5,-72.5,2022,1,19,0.0,12.27,0.53,4.95,77.26
2.5,-72.5,2022,1,20,0.02,25.7,0.47,4.65,84.28
3.5,-72.5,2022,1,20,0.0,26.96,0.48,4.69,72.49
4.5,-72.5,2022,1,20,0.0,28.22,0.54,5.23,61.51
5.5,-72.5,2022,1,20,0.0,19.8,0.57,5.39,72.18
6.5,-72.5,2022,1,20,0.0,12.46,0.56,5.23,77.35
2.5,-72.5,2022,1,21,0.0,25.85,0.37,3.65,85.97
3.5,-72.5,2022,1,21,0.0,28.13,0.39,3.78,67.52
4.5,-72.5,2022,1,21,0.0,29.79,0.57,5.52,56.07
5.5,-72.5,2022,1,21,0.05,20.48,0.55,5.22,69.91
6.5,-72.5,2022,1,21,0.11,12.82,0.55,5.19,77.01
2.5,-72.5,2022,1,22,0.13,25.84,0.55,5.39,90.21
3.5,-72.5,2022,1,22,0.21,28.32,0.57,5.51,72.72
4.5,-72.5,2022,1,22,0.31,30.47,0.63,6.07,56.3
5.5,-72.5,2022,1,22,0.55,20.74,0.6,5.74,70.21
6.5,-72.5,2022,1,22,0.05,12.72,0.55,5.2,78.68
2.5,-72.5,2022,1,23,0.24,25.96,0.56,5.49,88.05
3.5,-72.5,2022,1,23,0.64,28.25,0.57,5.54,74.0
4.5,-72.5,2022,1,23,1.9,29.56,0.55,5.31,62.52
5.5,-72.5,2022,1,23,1.14,20.12,0.44,4.24,76.33
6.5,-72.5,2022,1,23,0.05,13.64,0.44,4.19,77.95
2.5,-72.5,2022,1,24,0.31,25.86,0.51,5.04,89.05
3.5,-72.5,2022,1,24,0.25,27.58,0.54,5.27,76.05
4.5,-72.5,2022,1,24,0.31,29.41,0.48,4.61,63.86
5.5,-72.5,2022,1,24,0.24,19.68,0.4,3.8,71.7
6.5,-72.5,2022,1,24,0.06,13.11,0.48,4.57,76.67
2.5,-72.5,2022,1,25,0.7,24.8,0.56,5.57,93.18
3.5,-72.5,2022,1,25,0.18,27.25,0.58,5.64,76.44
4.5,-72.5,2022,1,25,0.12,30.11,0.58,5.61,57.48
5.5,-72.5,2022,1,25,0.04,20.58,0.49,4.67,65.77
6.5,-72.5,2022,1,25,0.01,13.3,0.5,4.71,73.09
2.5,-72.5,2022,1,26,0.83,25.56,0.47,4.65,88.3
3.5,-72.5,2022,1,26,0.02,26.62,0.49,4.79,78.49
4.5,-72.5,2022,1,26,0.0,27.9,0.52,5.04,68.96
5.5,-72.5,2022,1,26,0.0,19.72,0.52,4.95,75.58
6.5,-72.5,2022,1,26,0.0,13.52,0.54,5.11,76.51
2.5,-72.5,2022,1,27,0.1,25.82,0.61,6.05,87.68
3.5,-72.5,2022,1,27,0.0,28.12,0.65,6.35,64.44
4.5,-72.5,2022,1,27,0.0,29.53,0.64,6.2,53.65
5.5,-72.5,2022,1,27,0.0,20.27,0.64,6.13,63.97
6.5,-72.5,2022,1,27,0.0,13.1,0.64,6.06,66.61
2.5,-72.5,2022,1,28,0.0,25.25,0.71,7.07,84.06
3.5,-72.5,2022,1,28,0.0,27.86,0.69,6.78,53.21
4.5,-72.5,2022,1,28,0.02,29.29,0.67,6.52,46.49
5.5,-72.5,2022,1,28,5.05,20.41,0.68,6.53,57.44
6.5,-72.5,2022,1,28,3.18,12.08,0.68,6.53,59.86
2.5,-72.5,2022,1,29,0.0,25.45,0.57,5.66,85.69
3.5,-72.5,2022,1,29,0.0,28.42,0.56,5.51,56.89
4.5,-72.5,2022,1,29,0.17,30.21,0.54,5.32,46.66
5.5,-72.5,2022,1,29,2.72,20.75,0.57,5.46,63.31
6.5,-72.5,2022,1,29,12.0,12.58,0.58,5.54,67.05
2.5,-72.5,2022,1,30,0.0,24.82,0.66,6.58,85.67
3.5,-72.5,2022,1,30,0.0,27.94,0.64,6.36,56.92
4.5,-72.5,2022,1,30,0.01,30.02,0.62,6.09,42.26
5.5,-72.5,2022,1,30,0.47,20.48,0.6,5.8,60.98
6.5,-72.5,2022,1,30,0.97,12.9,0.59,5.62,75.81
2.5,-72.5,2022,1,31,0.0,24.97,0.56,5.59,83.65
3.5,-72.5,2022,1,31,0.0,28.33,0.56,5.52,53.68
4.5,-72.5,2022,1,31,0.0,30.09,0.58,5.66,43.3
5.5,-72.5,2022,1,31,0.19,19.86,0.48,4.61,63.83
6.5,-72.5,2022,1,31,0.3,12.42,0.53,5.12,75.65
2.5,-72.5,2022,2,1,0.0,25.94,0.65,6.51,84.98
3.5,-72.5,2022,2,1,0.0,29.29,0.65,6.46,56.95
4.5,-72.5,2022,2,1,0.0,31.43,0.6,5.86,37.15
5.5,-72.5,2022,2,1,0.01,19.98,0.53,5.13,59.45
6.5,-72.5,2022,2,1,0.01,11.41,0.53,5.11,75.35
2.5,-72.5,2022,2,2,0.0,26.6,0.6,6.05,83.32
3.5,-72.5,2022,2,2,0.0,29.56,0.59,5.84,60.17
4.5,-72.5,2022,2,2,0.0,31.6,0.63,6.2,40.44
5.5,-72.5,2022,2,2,0.0,20.84,0.63,6.12,59.77
6.5,-72.5,2022,2,2,0.0,12.38,0.62,5.96,71.77
2.5,-72.5,2022,2,3,0.0,26.49,0.42,4.18,85.88
3.5,-72.5,2022,2,3,0.0,28.8,0.41,4.12,67.59
4.5,-72.5,2022,2,3,0.0,31.07,0.45,4.49,46.64
5.5,-72.5,2022,2,3,0.0,20.68,0.49,4.76,67.8
6.5,-72.5,2022,2,3,0.0,13.18,0.56,5.43,76.67
2.5,-72.5,2022,2,4,5.49,26.13,0.48,4.87,88.54
3.5,-72.5,2022,2,4,3.9,28.39,0.52,5.14,71.36
4.5,-72.5,2022,2,4,3.25,30.8,0.52,5.17,48.63
5.5,-72.5,2022,2,4,4.43,20.17,0.39,3.84,70.63
6.5,-72.5,2022,2,4,4.45,12.6,0.38,3.65,82.03
2.5,-72.5,2022,2,5,5.76,25.45,0.33,3.37,91.36
3.5,-72.5,2022,2,5,7.02,26.34,0.31,3.15,79.76
4.5,-72.5,2022,2,5,6.86,27.06,0.32,3.19,71.12
5.5,-72.5,2022,2,5,4.1,18.78,0.25,2.48,79.24
6.5,-72.5,2022,2,5,2.72,12.04,0.3,2.92,83.18
2.5,-72.5,2022,2,6,0.55,24.94,0.44,4.4,87.21
3.5,-72.5,2022,2,6,0.52,27.28,0.42,4.19,71.12
4.5,-72.5,2022,2,6,0.66,28.66,0.36,3.53,60.43
5.5,-72.5,2022,2,6,10.72,18.85,0.35,3.46,76.77
6.5,-72.5,2022,2,6,22.62,11.62,0.37,3.6,83.41
2.5,-72.5,2022,2,7,1.59,25.35,0.31,3.16,89.53
3.5,-72.5,2022,2,7,0.59,26.96,0.34,3.46,77.41
4.5,-72.5,2022,2,7,0.77,28.33,0.39,3.87,67.3
5.5,-72.5,2022,2,7,6.9,19.6,0.36,3.56,80.47
6.5,-72.5,2022,2,7,10.96,11.63,0.32,3.08,90.5
2.5,-72.5,2022,2,8,28.84,23.72,0.34,3.45,96.17
3.5,-72.5,2022,2,8,40.34,25.58,0.34,3.4,86.92
4.5,-72.5,2022,2,8,25.91,26.52,0.3,2.98,82.44
5.5,-72.5,2022,2,8,18.94,18.87,0.22,2.19,87.93
6.5,-72.5,2022,2,8,15.26,11.56,0.24,2.38,89.93
2.5,-72.5,2022,2,9,2.11,24.85,0.36,3.68,89.2
3.5,-72.5,2022,2,9,1.67,25.84,0.33,3.36,83.88
4.5,-72.5,2022,2,9,13.28,26.54,0.36,3.58,80.29
5.5,-72.5,2022,2,9,8.84,18.35,0.37,3.71,85.5
6.5,-72.5,2022,2,9,3.02,10.85,0.37,3.61,87.88
2.5,-72.5,2022,2,10,0.14,24.89,0.47,4.77,90.76
3.5,-72.5,2022,2,10,0.18,26.12,0.44,4.4,81.19
4.5,-72.5,2022,2,10,0.45,28.9,0.46,4.65,65.07
5.5,-72.5,2022,2,10,0.29,19.18,0.39,3.91,74.79
6.5,-72.5,2022,2,10,0.02,11.99,0.51,4.98,82.82
2.5,-72.5,2022,2,11,5.09,25.86,0.58,5.94,88.71
3.5,-72.5,2022,2,11,5.01,27.5,0.49,4.91,75.43
4.5,-72.5,2022,2,11,4.4,28.86,0.43,4.3,64.08
5.5,-72.5,2022,2,11,2.12,19.16,0.34,3.43,77.35
6.5,-72.5,2022,2,11,0.05,12.47,0.45,4.4,80.8
2.5,-72.5,2022,2,12,0.74,26.06,0.58,5.95,88.41
3.5,-72.5,2022,2,12,0.53,27.63,0.55,5.52,72.95
4.5,-72.5,2022,2,12,0.31,29.54,0.51,5.07,57.79
5.5,-72.5,2022,2,12,0.17,19.79,0.45,4.49,73.03
6.5,-72.5,2022,2,12,0.0,12.55,0.47,4.67,80.49
2.5,-72.5,2022,2,13,0.09,25.99,0.57,5.83,87.18
3.5,-72.5,2022,2,13,0.0,28.07,0.63,6.34,71.12
4.5,-72.5,2022,2,13,0.0,29.21,0.67,6.78,55.27
5.5,-72.5,2022,2,13,0.0,19.62,0.59,5.92,70.37
6.5,-72.5,2022,2,13,0.0,12.5,0.52,5.19,78.98
2.5,-72.5,2022,2,14,0.01,25.64,0.47,4.82,89.3
3.5,-72.5,2022,2,14,0.0,27.03,0.48,4.92,73.79
4.5,-72.5,2022,2,14,0.04,29.18,0.51,5.18,56.22
5.5,-72.5,2022,2,14,1.2,19.49,0.47,4.73,69.62
6.5,-72.5,2022,2,14,2.28,12.27,0.48,4.79,78.17
2.5,-72.5,2022,2,15,2.64,25.99,0.59,6.09,87.46
3.5,-72.5,2022,2,15,0.25,27.24,0.62,6.29,72.61
4.5,-72.5,2022,2,15,0.16,28.61,0.61,6.19,60.9
5.5,-72.5,2022,2,15,0.31,18.73,0.46,4.62,77.77
6.5,-72.5,2022,2,15,0.21,11.64,0.48,4.81,83.61
2.5,-72.5,2022,2,16,0.57,25.86,0.63,6.45,86.83
3.5,-72.5,2022,2,16,0.57,27.97,0.64,6.5,66.33
4.5,-72.5,2022,2,16,1.94,28.69,0.65,6.59,58.67
5.5,-72.5,2022,2,16,1.57,18.68,0.54,5.42,76.71
6.5,-72.5,2022,2,16,0.09,12.05,0.52,5.19,80.07
2.5,-72.5,2022,2,17,0.15,25.25,0.48,4.91,85.95
3.5,-72.5,2022,2,17,0.33,27.15,0.48,4.89,69.39
4.5,-72.5,2022,2,17,0.4,28.61,0.59,5.94,61.51
5.5,-72.5,2022,2,17,0.24,19.76,0.52,5.25,75.05
6.5,-72.5,2022,2,17,0.01,12.56,0.48,4.79,80.94
2.5,-72.5,2022,2,18,0.14,26.07,0.54,5.53,81.9
3.5,-72.5,2022,2,18,0.06,28.67,0.51,5.2,64.81
4.5,-72.5,2022,2,18,0.03,29.59,0.45,4.61,54.63
5.5,-72.5,2022,2,18,0.3,19.66,0.39,3.89,71.12
6.5,-72.5,2022,2,18,0.82,12.96,0.5,5.02,77.67
2.5,-72.5,2022,2,19,0.03,25.78,0.46,4.7,85.76
3.5,-72.5,2022,2,19,0.11,28.31,0.44,4.48,65.0
4.5,-72.5,2022,2,19,0.15,28.86,0.34,3.46,56.32
5.5,-72.5,2022,2,19,0.99,18.9,0.28,2.8,74.68
6.5,-72.5,2022,2,19,1.55,12.17,0.35,3.49,82.33
2.5,-72.5,2022,2,20,2.43,25.45,0.58,5.96,82.77
3.5,-72.5,2022,2,20,0.05,28.78,0.56,5.77,55.46
4.5,-72.5,2022,2,20,0.0,29.57,0.59,6.02,48.89
5.5,-72.5,2022,2,20,0.04,19.81,0.46,4.61,64.57
6.5,-72.5,2022,2,20,0.07,12.14,0.5,5.03,76.86
2.5,-72.5,2022,2,21,0.78,25.4,0.59,6.06,81.17
3.5,-72.5,2022,2,21,0.04,28.59,0.58,5.96,50.45
4.5,-72.5,2022,2,21,0.0,29.2,0.59,5.99,45.31
5.5,-72.5,2022,2,21,0.0,19.89,0.46,4.66,63.08
6.5,-72.5,2022,2,21,0.0,12.25,0.5,5.0,75.77
2.5,-72.5,2022,2,22,0.01,26.15,0.61,6.35,80.41
3.5,-72.5,2022,2,22,0.0,29.06,0.67,6.86,55.47
4.5,-72.5,2022,2,22,0.0,30.07,0.67,6.88,48.6
5.5,-72.5,2022,2,22,0.0,20.17,0.57,5.78,64.61
6.5,-72.5,2022,2,22,0.0,12.2,0.48,4.87,77.14
2.5,-72.5,2022,2,23,0.15,26.72,0.5,5.22,82.03
3.5,-72.5,2022,2,23,0.01,29.38,0.55,5.69,64.06
4.5,-72.5,2022,2,23,0.02,30.65,0.63,6.45,51.44
5.5,-72.5,2022,2,23,0.02,20.81,0.53,5.37,65.83
6.5,-72.5,2022,2,23,0.0,12.7,0.46,4.69,78.03
2.5,-72.5,2022,2,24,0.34,26.05,0.3,3.11,88.0
3.5,-72.5,2022,2,24,0.25,27.92,0.26,2.66,72.37
4.5,-72.5,2022,2,24,0.2,29.79,0.35,3.57,59.08
5.5,-72.5,2022,2,24,0.07,20.08,0.28,2.84,73.68
6.5,-72.5,2022,2,24,0.0,13.15,0.34,3.43,79.16
2.5,-72.5,2022,2,25,0.39,25.86,0.4,4.18,88.0
3.5,-72.5,2022,2,25,0.63,28.4,0.43,4.41,68.76
4.5,-72.5,2022,2,25,2.58,29.46,0.36,3.71,57.5
5.5,-72.5,2022,2,25,2.6,19.94,0.39,4.0,73.89
6.5,-72.5,2022,2,25,0.15,13.16,0.43,4.31,77.51
2.5,-72.5,2022,2,26,15.5,25.42,0.29,2.96,90.85
3.5,-72.5,2022,2,26,16.55,26.2,0.29,3.01,85.01
4.5,-72.5,2022,2,26,14.37,27.67,0.33,3.36,73.51
5.5,-72.5,2022,2,26,20.02,19.5,0.4,4.05,82.11
6.5,-72.5,2022,2,26,22.64,12.53,0.44,4.44,84.4
2.5,-72.5,2022,2,27,32.24,24.81,0.28,2.94,94.25
3.5,-72.5,2022,2,27,40.02,25.3,0.27,2.75,88.66
4.5,-72.5,2022,2,27,38.47,26.32,0.29,3.02,82.84
5.5,-72.5,2022,2,27,25.19,18.55,0.27,2.77,88.75
6.5,-72.5,2022,2,27,18.7,12.3,0.26,2.64,88.09
2.5,-72.5,2022,2,28,2.95,24.91,0.4,4.14,90.33
3.5,-72.5,2022,2,28,3.44,25.2,0.44,4.55,84.73
4.5,-72.5,2022,2,28,5.46,26.14,0.39,3.98,79.21
5.5,-72.5,2022,2,28,5.49,18.63,0.31,3.2,84.87
6.5,-72.5,2022,2,28,3.14,12.31,0.3,3.02,85.31
2.5,-72.5,2022,3,1,0.77,25.82,0.43,4.5,85.41
3.5,-72.5,2022,3,1,0.84,27.01,0.41,4.2,76.16
4.5,-72.5,2022,3,1,0.91,28.07,0.41,4.26,69.96
5.5,-72.5,2022,3,1,2.75,19.31,0.34,3.47,81.18
6.5,-72.5,2022,3,1,3.67,11.88,0.38,3.87,87.17
2.5,-72.5,2022,3,2,7.51,26.25,0.32,3.38,90.36
3.5,-72.5,2022,3,2,4.99,27.66,0.38,3.92,77.73
4.5,-72.5,2022,3,2,4.16,29.18,0.37,3.78,68.18
5.5,-72.5,2022,3,2,3.34,20.23,0.35,3.58,79.3
6.5,-72.5,2022,3,2,3.06,12.15,0.29,2.92,86.67
2.5,-72.5,2022,3,3,22.39,25.32,0.2,2.12,91.17
3.5,-72.5,2022,3,3,27.54,26.27,0.33,3.43,83.25
4.5,-72.5,2022,3,3,24.27,26.7,0.43,4.43,82.9
5.5,-72.5,2022,3,3,12.71,18.5,0.42,4.36,90.4
6.5,-72.5,2022,3,3,3.83,12.0,0.4,4.05,87.6
2.5,-72.5,2022,3,4,6.55,25.55,0.47,4.86,90.69
3.5,-72.5,2022,3,4,2.99,26.59,0.48,4.97,81.46
4.5,-72.5,2022,3,4,3.22,27.63,0.52,5.33,75.17
5.5,-72.5,2022,3,4,3.42,20.0,0.38,3.91,79.55
6.5,-72.5,2022,3,4,1.46,12.27,0.35,3.54,84.36
2.5,-72.5,2022,3,5,15.43,25.59,0.49,5.08,92.04
3.5,-72.5,2022,3,5,12.4,26.31,0.45,4.65,85.13
4.5,-72.5,2022,3,5,10.21,27.11,0.53,5.53,78.61
5.5,-72.5,2022,3,5,7.29,19.54,0.48,5.0,85.31
6.5,-72.5,2022,3,5,3.22,12.17,0.42,4.28,87.94
2.5,-72.5,2022,3,6,27.13,24.63,0.51,5.27,95.99
3.5,-72.5,2022,3,6,30.71,25.62,0.5,5.18,87.58
4.5,-72.5,2022,3,6,26.0,27.21,0.43,4.49,77.5
